,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description,Date
0,Busselton,AU,-33.65,115.3333,56.79,73,87,13.4,overcast clouds,2022-07-24 17:28:34
1,Hithadhoo,MV,-0.6,73.0833,82.18,72,99,6.26,overcast clouds,2022-07-24 17:28:34
2,Clyde River,CA,70.4692,-68.5914,43.03,93,100,18.41,overcast clouds,2022-07-24 17:28:35
3,Lorengau,PG,-2.0226,147.2712,81.88,79,51,7.54,broken clouds,2022-07-24 17:28:35
4,Hilo,US,19.7297,-155.09,79.29,83,100,6.91,overcast clouds,2022-07-24 17:27:00
5,Nyurba,RU,63.2842,118.3319,66.49,78,46,7.96,scattered clouds,2022-07-24 17:28:36
6,Tabou,CI,4.423,-7.3528,75.63,80,100,8.39,light rain,2022-07-24 17:28:36
7,Hermanus,ZA,-34.4187,19.2345,52.81,70,2,14.47,clear sky,2022-07-24 17:28:36
8,Cape Town,ZA,-33.9258,18.4232,58.26,69,0,10.0,clear sky,2022-07-24 17:24:03
9,Albany,US,42.6001,-73.9662,96.17,38,45,1.99,scattered clouds,2022-07-24 17:24:06
10,Tuatapere,NZ,-46.1333,167.6833,41.4,91,52,2.39,broken clouds,2022-07-24 17:28:37
11,Faya,SA,18.3851,42.4509,64.51,58,92,7.99,overcast clouds,2022-07-24 17:28:38
12,Hervey Bay,AU,-25.2986,152.8535,62.37,75,29,11.36,scattered clouds,2022-07-24 17:28:38
13,Rikitea,PF,-23.1203,-134.9692,74.59,78,78,14.38,broken clouds,2022-07-24 17:28:38
14,Mataura,NZ,-46.1927,168.8643,34.48,98,15,2.44,few clouds,2022-07-24 17:28:39
15,Hurricane,US,37.1753,-113.2899,88.5,39,76,2.01,broken clouds,2022-07-24 17:28:39
16,Uglegorsk,RU,49.0833,142.0333,59.76,96,100,1.45,overcast clouds,2022-07-24 17:28:40
17,Nanortalik,GL,60.1432,-45.2371,49.21,73,100,1.97,overcast clouds,2022-07-24 17:28:40
18,Cherskiy,RU,68.75,161.3,50.36,57,55,5.48,broken clouds,2022-07-24 17:28:41
19,Acari,PE,-15.4311,-74.6158,73.4,52,19,8.75,few clouds,2022-07-24 17:28:41
