City ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Hithadhoo,MV,82.18,overcast clouds,-0.6,73.0833,Scoop Guest House
3,Lorengau,PG,81.88,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
4,Hilo,US,79.29,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
6,Tabou,CI,75.63,light rain,4.423,-7.3528,hotêl doufoulougou
15,Hurricane,US,88.5,broken clouds,37.1753,-113.2899,Super 8 by Wyndham Hurricane Zion National Park
21,Ahuimanu,US,78.51,broken clouds,21.4447,-157.8378,Paradise Bay Resort
24,Havelock,US,87.98,clear sky,34.8791,-76.9013,Sherwood Motel
29,Rapid Valley,US,85.42,clear sky,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
37,Katsuura,JP,77.81,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
38,Kahului,US,78.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
40,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
41,Atuona,PF,77.11,broken clouds,-9.8,-139.0333,Villa Enata
42,Brooks,CA,75.04,few clouds,50.5834,-111.8851,Heritage Inn Hotel & Convention Centre
43,Kuah,MY,82.38,few clouds,6.3265,99.8432,Azio Hotel
44,Huilong,CN,80.92,clear sky,31.8111,121.655,Hilton Garden Inn Qidong
46,Yeban,PH,76.78,broken clouds,17.022,121.9419,Gayong gayong norte
47,Sao Jose Da Coroa Grande,BR,78.28,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
59,Dalbandin,PK,82.36,light rain,28.8947,64.4101,Sanjrani House
60,Castro,BR,76.05,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
61,Kharagpur,IN,80.98,light rain,22.3333,87.3333,Guin Bros Lodge
62,Kapaa,US,79.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
66,Takanabe,JP,76.42,scattered clouds,32.1333,131.5,Hotel AZ Miyazaki Takanabe
67,Ribeira Grande,PT,79.2,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
70,Bousso,TD,83.23,broken clouds,10.4795,16.7117,
74,Georgetown,MY,78.89,thunderstorm with light rain,5.4112,100.3354,Cititel Penang
81,Kisangani,CD,77.63,overcast clouds,0.5167,25.2,Grand Ramela Hotel
83,Mogadishu,SO,75.85,scattered clouds,2.0371,45.3438,Hotel Juba
86,Jamestown,US,82.04,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
87,Ponta Do Sol,PT,85.12,clear sky,32.6667,-17.1,Hotel do Campo
88,Poso,ID,75.34,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
92,Yumen,CN,78.93,few clouds,40.2833,97.2,
93,Carutapera,BR,82.92,broken clouds,-1.195,-46.02,Lidera
99,Makakilo City,US,77.32,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
105,Nouadhibou,MR,82.38,few clouds,20.931,-17.0347,El Medina
113,Calamar,CO,89.92,few clouds,10.2511,-74.9146,Hostal Katyalex
114,Namatanai,PG,78.67,few clouds,-3.6667,152.4333,Seagulls Inn Namatani
115,Twin Falls,US,79.14,clear sky,42.3505,-114.6445,
126,Faanui,PF,78.31,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
127,San Joaquin,US,79.54,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
128,Guaraniacu,BR,77.23,overcast clouds,-25.1008,-52.8781,Dalla´s Hotel
129,Keti Bandar,PK,79.56,light rain,24.1447,67.4497,Haji laloo memon house
130,Odweyne,SO,75.47,broken clouds,9.4092,45.064,Eng Hiirey House
133,Bengkulu,ID,75.29,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
136,Severnyy,RU,75.24,clear sky,50.677,36.5532,Full House North Mini-Hotel
137,Bubaque,GW,76.64,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
145,Butaritari,KI,82.26,light rain,3.0707,172.7902,Isles Sunset Lodge
148,Shubarshi,KZ,77.34,broken clouds,48.5872,57.1869,
150,Charqueada,BR,84.88,broken clouds,-22.5097,-47.7781,Hotel Serra do Itaqueri
152,Vila Velha,BR,78.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
154,Zhezkazgan,KZ,79.88,few clouds,47.8043,67.7144,Hotel Zumrat
155,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
157,Saint-Andre-Avellin,CA,79.29,overcast clouds,45.7168,-75.066,Auberge Petite-Nation
159,Nioro,GM,82.98,overcast clouds,13.35,-15.75,
161,Hamilton,US,89.65,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
162,Wenchi,GH,76.05,overcast clouds,7.7392,-2.1046,Ebenezer Hotel
164,Manggar,ID,80.13,broken clouds,-2.8833,108.2667,Guest Hotel
168,Xianshuigu,CN,84.2,clear sky,38.985,117.3828,Guangchuan Hotel
170,Meulaboh,ID,75.45,overcast clouds,4.1363,96.1285,Kost Pria
171,Touros,BR,79.23,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
172,Shihezi,CN,81.73,broken clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
173,Salalah,OM,77.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
176,Broome,US,88.16,few clouds,42.2506,-75.833,Chenango Valley State Park
180,Wad Madani,SD,78.35,moderate rain,14.4012,33.5199,فندق يوغسلافيا
183,Gat,IL,83.8,clear sky,31.61,34.7642,OlusHome
185,Hasaki,JP,75.6,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
189,Kloulklubed,PW,75.7,light rain,7.0419,134.2556,Storyboard Beach Resort
190,Santa Cruz,BO,87.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
191,Asfi,MA,79.41,broken clouds,32.2994,-9.2372,Hôtel Abda
194,Kijang,KR,76.73,clear sky,35.2442,129.2139,Samyang Beach Villa
197,Anito,PH,78.44,broken clouds,12.4497,125.2886,El Felix Cottages
199,Pochutla,MX,85.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
200,Portland,US,75.96,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
201,Karwar,IN,77.72,overcast clouds,14.8,74.1333,Netalco Connects
202,Mingaora,PK,76.5,broken clouds,34.7758,72.3625,Burj Al Swat
208,Lasa,IT,81.48,broken clouds,46.6166,10.7002,Pension Feldgärtenhof
213,Kavieng,PG,81.72,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
220,Aljezur,PT,82.49,broken clouds,37.3191,-8.8033,Amazigh Hostel
221,Cefalu,IT,87.55,clear sky,38.0386,14.0229,Hotel La Giara
224,Kota Belud,MY,76.69,overcast clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
225,Conceicao Da Barra,BR,77.38,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
226,Kinshasa,CD,86.5,broken clouds,-4.3246,15.3215,Star Hotel II
227,Miranda,CO,81.64,broken clouds,3.2499,-76.2281,unidiversidad organica la utopia
229,Pak Phanang,TH,78.91,few clouds,8.3511,100.202,Green Park Inn Hotel
233,Guerrero Negro,MX,77.0,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
235,Sechura,PE,77.29,few clouds,-5.5569,-80.8222,Hospedaje Costa Bella
236,Cabo San Lucas,MX,89.62,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
237,Yiyang,CN,82.78,light rain,28.5892,112.3283,Tongcheng International Hotel
238,Bell Ville,AR,77.61,scattered clouds,-32.6259,-62.6887,Hotel Central
