City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Amapa,BR,2022-07-18 18:36:39,1.0,-52.0,77.5,96,90,3.4
1,Mataura,NZ,2022-07-18 18:36:40,-46.1927,168.8643,43.48,97,100,0.83
2,Anakapalle,IN,2022-07-18 18:36:40,17.6833,83.0167,80.55,86,96,8.25
3,Provideniya,RU,2022-07-18 18:36:41,64.3833,-173.3,42.57,64,100,23.89
4,Punta Arenas,CL,2022-07-18 18:35:08,-53.15,-70.9167,41.11,75,40,31.07
5,Torbay,CA,2022-07-18 18:36:41,47.6666,-52.7314,79.57,49,40,18.41
6,Padang,ID,2022-07-18 18:36:42,-0.9492,100.3543,76.82,80,22,4.05
7,Agadir,MA,2022-07-18 18:36:42,30.4202,-9.5982,86.45,61,54,4.88
8,Bethel,US,2022-07-18 18:36:43,41.3712,-73.414,77.09,91,100,8.05
9,Tuatapere,NZ,2022-07-18 18:36:43,-46.1333,167.6833,45.45,87,100,1.41
10,San Carlos De Bariloche,AR,2022-07-18 18:36:35,-41.1456,-71.3082,37.15,65,0,14.97
11,Barrow,US,2022-07-18 18:36:44,71.2906,-156.7887,41.02,87,100,14.97
12,Ribeira Grande,PT,2022-07-18 18:36:44,38.5167,-28.7,75.6,88,75,13.8
13,Ushuaia,AR,2022-07-18 18:35:56,-54.8,-68.3,42.46,52,20,12.66
14,Luderitz,NA,2022-07-18 18:36:45,-26.6481,15.1594,60.08,76,0,11.95
15,New Norfolk,AU,2022-07-18 18:36:45,-42.7826,147.0587,38.91,85,90,2.48
16,Praia Da Vitoria,PT,2022-07-18 18:36:46,38.7333,-27.0667,79.05,94,100,7.92
17,Meulaboh,ID,2022-07-18 18:36:46,4.1363,96.1285,76.39,85,98,3.42
18,Leeuwarden,NL,2022-07-18 18:36:46,53.2014,5.8086,84.11,43,8,1.14
19,Vaiano,IT,2022-07-18 18:36:47,43.949,11.1232,89.85,29,0,5.75
20,Manturovo,RU,2022-07-18 18:36:47,58.3353,44.7619,59.18,99,100,5.61
21,Duque De Caxias,BR,2022-07-18 18:35:28,-22.7856,-43.3117,80.49,83,75,10.36
22,Kasongo-Lunda,CD,2022-07-18 18:36:48,-6.4667,16.8167,80.2,37,72,1.1
23,Mokhsogollokh,RU,2022-07-18 18:36:48,61.4681,128.9203,62.01,74,10,1.77
24,Husavik,IS,2022-07-18 18:36:49,66.0449,-17.3389,51.96,75,84,4.79
25,Ayagoz,KZ,2022-07-18 18:36:49,47.9714,80.4392,59.54,45,38,5.35
26,Cape Town,ZA,2022-07-18 18:35:03,-33.9258,18.4232,55.9,83,40,9.22
27,Wagga Wagga,AU,2022-07-18 18:36:50,-35.1167,147.3667,34.84,100,6,4.61
28,Dunedin,NZ,2022-07-18 18:34:52,-45.8742,170.5036,50.81,91,100,5.99
29,Kodiak,US,2022-07-18 18:36:51,57.79,-152.4072,55.31,77,100,2.19
30,Saldanha,ZA,2022-07-18 18:36:51,-33.0117,17.9442,53.65,80,0,16.62
31,Zamora,EC,2022-07-18 18:36:52,-4.0692,-78.9567,81.64,99,100,4.94
32,Cherdyn,RU,2022-07-18 18:32:13,60.403,56.4787,62.62,73,6,2.33
33,Dingle,PH,2022-07-18 18:36:52,10.9995,122.6711,75.72,94,100,3.38
34,Medvezhyegorsk,RU,2022-07-18 18:36:53,62.9167,34.4667,54.61,86,6,3.83
35,Victoria,HK,2022-07-18 18:36:00,22.2855,114.1577,86.38,82,100,11.99
36,Tasiilaq,GL,2022-07-18 18:36:53,65.6145,-37.6368,50.16,82,59,3.65
37,Gamba,GA,2022-07-18 18:36:54,-2.65,10.0,70.47,91,13,5.75
38,Omboue,GA,2022-07-18 18:36:54,-1.5746,9.2618,72.14,85,16,7.09
39,Waingapu,ID,2022-07-18 18:36:55,-9.6567,120.2641,71.71,87,15,8.01
40,Kaitangata,NZ,2022-07-18 18:36:55,-46.2817,169.8464,45.61,93,100,3.58
41,Jumla,NP,2022-07-18 18:36:55,29.2747,82.1838,64.47,95,86,1.36
42,Sri Aman,MY,2022-07-18 18:36:56,1.2376,111.4621,75.25,94,100,0.0
43,Vaini,TO,2022-07-18 18:36:56,-21.2,-175.2,74.39,79,87,21.56
44,Lagoa,PT,2022-07-18 18:36:57,39.05,-27.9833,70.65,87,95,11.56
45,Bhainsa,IN,2022-07-18 18:36:57,26.9548,76.9012,92.68,51,33,4.43
